status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
0 <= ... < 200 DM,39.0,,domestic appliances,4933.0,... < 100 DM,4 <= ... < 7 years,,male : single,guarantor,2.0,real estate,25.0,,own,2.0,skilled employee/official,,no,yes,0
no checking account,24.0,critical account/other credits existing,car (new),1940.0,... >= 1000 DM,... >= 7 years,4.0,,,4.0,,,none,own,1.0,skilled employee/official,,,yes,1
0 <= ... < 200 DM,12.0,no credits taken/all credits paid back duly,,1410.0,... < 100 DM,1 <= ... < 4 years,2.0,male : single,none,2.0,real estate,31.0,none,own,1.0,,1.0,yes,yes,1
0 <= ... < 200 DM,12.0,existing credits paid back duly till now,car (new),836.0,100 <= ... < 500 DM,... < 1 year,4.0,female : divorced/separated/married,none,2.0,building society savings agreement/life insurance,23.0,bank,own,1.0,unskilled - resident,1.0,no,yes,0
0 <= ... < 200 DM,,existing credits paid back duly till now,car (used),,unknown/no savings account,unemployed,1.0,male : divorced/separated,none,4.0,real estate,60.0,none,own,1.0,management/self-employed/highly qualified employee/officer,1.0,yes,yes,1
0 <= ... < 200 DM,18.0,existing credits paid back duly till now,,1941.0,... >= 1000 DM,1 <= ... < 4 years,4.0,male : single,none,2.0,building society savings agreement/life insurance,35.0,,own,1.0,unskilled - resident,1.0,yes,yes,1
no checking account,,existing credits paid back duly till now,domestic appliances,2675.0,500 <= ... < 1000 DM,... >= 7 years,3.0,male : single,none,4.0,car or other,40.0,none,own,1.0,,1.0,no,yes,1
no checking account,48.0,critical account/other credits existing,car (used),2751.0,unknown/no savings account,... >= 7 years,4.0,male : single,,3.0,car or other,38.0,none,own,2.0,skilled employee/official,2.0,yes,yes,1
0 <= ... < 200 DM,48.0,delay in paying off in the past,,6224.0,,... >= 7 years,4.0,male : single,none,4.0,unknown/no property,50.0,none,for free,1.0,skilled employee/official,1.0,no,yes,0
... < 100 DM,40.0,,retraining,5998.0,... < 100 DM,,4.0,male : single,none,3.0,unknown/no property,27.0,bank,,,skilled employee/official,1.0,yes,yes,0
0 <= ... < 200 DM,,existing credits paid back duly till now,others,1188.0,... < 100 DM,... >= 7 years,2.0,female : divorced/separated/married,none,,building society savings agreement/life insurance,39.0,none,own,1.0,skilled employee/official,2.0,no,yes,0
no checking account,24.0,existing credits paid back duly till now,car (used),6313.0,unknown/no savings account,... >= 7 years,3.0,male : single,none,4.0,car or other,41.0,none,own,,management/self-employed/highly qualified employee/officer,2.0,,yes,1
no checking account,,critical account/other credits existing,radio/television,1221.0,unknown/no savings account,1 <= ... < 4 years,1.0,male : married/widowed,,2.0,building society savings agreement/life insurance,27.0,none,own,2.0,skilled employee/official,1.0,no,yes,1
... >= 200 DM / salary for at least 1 year,24.0,existing credits paid back duly till now,radio/television,2892.0,... < 100 DM,... >= 7 years,3.0,male : divorced/separated,none,4.0,,51.0,none,for free,1.0,skilled employee/official,1.0,no,yes,1
no checking account,24.0,existing credits paid back duly till now,radio/television,3062.0,500 <= ... < 1000 DM,... >= 7 years,4.0,male : single,none,3.0,unknown/no property,32.0,none,rent,1.0,skilled employee/official,,yes,yes,1
no checking account,9.0,existing credits paid back duly till now,radio/television,2301.0,100 <= ... < 500 DM,... < 1 year,2.0,female : divorced/separated/married,none,4.0,building society savings agreement/life insurance,22.0,none,rent,1.0,skilled employee/official,,no,yes,1
... < 100 DM,18.0,existing credits paid back duly till now,car (used),7511.0,unknown/no savings account,... >= 7 years,1.0,male : single,none,4.0,building society savings agreement/life insurance,51.0,none,for free,1.0,,,,yes,0
no checking account,12.0,critical account/other credits existing,,1258.0,... < 100 DM,... < 1 year,2.0,female : divorced/separated/married,none,4.0,building society savings agreement/life insurance,22.0,none,rent,2.0,unskilled - resident,1.0,no,yes,1
,24.0,delay in paying off in the past,car (new),717.0,unknown/no savings account,... >= 7 years,4.0,male : married/widowed,none,4.0,car or other,54.0,,own,2.0,skilled employee/official,1.0,,yes,1
0 <= ... < 200 DM,9.0,existing credits paid back duly till now,car (new),1549.0,,... < 1 year,4.0,male : single,none,2.0,,35.0,none,own,1.0,unemployed/unskilled - non-resident,1.0,no,,1
no checking account,24.0,,retraining,1597.0,... < 100 DM,... >= 7 years,4.0,male : single,none,,unknown/no property,54.0,none,for free,2.0,skilled employee/official,2.0,no,yes,1
0 <= ... < 200 DM,18.0,critical account/other credits existing,domestic appliances,1795.0,... < 100 DM,... >= 7 years,,female : divorced/separated/married,,4.0,real estate,48.0,bank,rent,,unskilled - resident,1.0,yes,yes,1
... < 100 DM,20.0,critical account/other credits existing,radio/television,4272.0,... < 100 DM,... >= 7 years,1.0,female : divorced/separated/married,none,4.0,building society savings agreement/life insurance,24.0,none,own,2.0,skilled employee/official,1.0,no,yes,1
no checking account,12.0,critical account/other credits existing,domestic appliances,976.0,unknown/no savings account,... >= 7 years,4.0,,none,4.0,car or other,,,own,2.0,skilled employee/official,1.0,no,yes,1
,12.0,existing credits paid back duly till now,car (new),7472.0,unknown/no savings account,unemployed,1.0,female : divorced/separated/married,none,2.0,real estate,24.0,none,rent,1.0,unemployed/unskilled - non-resident,1.0,no,yes,1
... < 100 DM,36.0,existing credits paid back duly till now,car (new),9271.0,... < 100 DM,4 <= ... < 7 years,2.0,male : single,none,1.0,car or other,24.0,none,own,1.0,skilled employee/official,,yes,yes,0
0 <= ... < 200 DM,,existing credits paid back duly till now,domestic appliances,,... < 100 DM,... < 1 year,3.0,male : married/widowed,none,3.0,real estate,26.0,none,own,1.0,unskilled - resident,1.0,no,no,1
no checking account,12.0,critical account/other credits existing,domestic appliances,930.0,unknown/no savings account,... >= 7 years,4.0,male : single,none,4.0,real estate,65.0,,,4.0,skilled employee/official,1.0,no,yes,1
0 <= ... < 200 DM,42.0,all credits at this bank paid back duly,car (used),9283.0,... < 100 DM,unemployed,1.0,male : single,none,2.0,unknown/no property,55.0,bank,for free,1.0,management/self-employed/highly qualified employee/officer,,yes,yes,1
0 <= ... < 200 DM,,no credits taken/all credits paid back duly,car (new),,... < 100 DM,... < 1 year,2.0,female : divorced/separated/married,none,1.0,real estate,26.0,,rent,2.0,unemployed/unskilled - non-resident,1.0,no,yes,0
0 <= ... < 200 DM,8.0,existing credits paid back duly till now,others,907.0,... < 100 DM,... < 1 year,3.0,male : married/widowed,none,2.0,real estate,26.0,none,own,1.0,skilled employee/official,1.0,yes,yes,1
0 <= ... < 200 DM,6.0,existing credits paid back duly till now,domestic appliances,484.0,... < 100 DM,4 <= ... < 7 years,3.0,,guarantor,3.0,real estate,28.0,,own,1.0,,1.0,no,yes,1
... < 100 DM,36.0,critical account/other credits existing,car (used),9629.0,... < 100 DM,4 <= ... < 7 years,4.0,,none,4.0,car or other,24.0,none,own,2.0,,1.0,yes,yes,0
... < 100 DM,48.0,existing credits paid back duly till now,repairs,3051.0,... < 100 DM,,3.0,male : single,none,4.0,car or other,,none,own,1.0,,1.0,no,yes,0
... < 100 DM,,existing credits paid back duly till now,car (new),3931.0,... < 100 DM,4 <= ... < 7 years,4.0,male : single,none,,unknown/no property,46.0,none,for free,1.0,skilled employee/official,,no,yes,0
0 <= ... < 200 DM,36.0,,car (new),7432.0,... < 100 DM,1 <= ... < 4 years,2.0,female : divorced/separated/married,none,2.0,building society savings agreement/life insurance,54.0,,rent,1.0,skilled employee/official,1.0,no,yes,1
no checking account,6.0,existing credits paid back duly till now,repairs,1338.0,500 <= ... < 1000 DM,1 <= ... < 4 years,1.0,male : divorced/separated,none,4.0,real estate,62.0,none,own,1.0,skilled employee/official,1.0,no,,1
no checking account,6.0,critical account/other credits existing,domestic appliances,,... < 100 DM,,1.0,female : divorced/separated/married,none,2.0,car or other,24.0,none,rent,2.0,skilled employee/official,1.0,yes,yes,1
... < 100 DM,,existing credits paid back duly till now,furniture/equipment,15857.0,... < 100 DM,unemployed,2.0,male : divorced/separated,,3.0,car or other,43.0,none,own,1.0,,1.0,no,yes,1
... < 100 DM,18.0,existing credits paid back duly till now,domestic appliances,1345.0,... < 100 DM,1 <= ... < 4 years,4.0,male : married/widowed,none,3.0,real estate,26.0,bank,own,1.0,skilled employee/official,1.0,no,,0
no checking account,12.0,,car (new),1101.0,,1 <= ... < 4 years,3.0,male : married/widowed,none,2.0,real estate,27.0,none,own,2.0,skilled employee/official,1.0,yes,yes,1
... >= 200 DM / salary for at least 1 year,12.0,existing credits paid back duly till now,domestic appliances,3016.0,... < 100 DM,1 <= ... < 4 years,3.0,male : married/widowed,none,1.0,,,none,own,1.0,skilled employee/official,1.0,no,yes,1
... < 100 DM,36.0,existing credits paid back duly till now,,2712.0,,... >= 7 years,2.0,male : single,none,2.0,building society savings agreement/life insurance,41.0,bank,own,1.0,skilled employee/official,2.0,no,yes,0
... < 100 DM,8.0,critical account/other credits existing,,731.0,... < 100 DM,... >= 7 years,4.0,male : single,none,4.0,real estate,47.0,none,own,2.0,unskilled - resident,1.0,no,yes,1
no checking account,18.0,critical account/other credits existing,radio/television,3780.0,... < 100 DM,,3.0,male : divorced/separated,none,,car or other,,none,own,2.0,management/self-employed/highly qualified employee/officer,1.0,yes,yes,1
... < 100 DM,21.0,,car (new),1602.0,... < 100 DM,... >= 7 years,4.0,male : married/widowed,,3.0,car or other,30.0,none,own,2.0,skilled employee/official,1.0,yes,yes,1
,18.0,critical account/other credits existing,car (new),3966.0,... < 100 DM,... >= 7 years,1.0,female : divorced/separated/married,none,4.0,real estate,33.0,bank,rent,3.0,skilled employee/official,1.0,yes,yes,0
no checking account,18.0,no credits taken/all credits paid back duly,others,4165.0,... < 100 DM,1 <= ... < 4 years,2.0,male : single,none,,,,stores,own,2.0,skilled employee/official,,,yes,0
... < 100 DM,36.0,existing credits paid back duly till now,car (used),8335.0,unknown/no savings account,... >= 7 years,,male : single,none,4.0,unknown/no property,47.0,none,,1.0,skilled employee/official,1.0,no,yes,0
0 <= ... < 200 DM,,delay in paying off in the past,others,6681.0,,1 <= ... < 4 years,4.0,male : single,none,4.0,unknown/no property,38.0,none,for free,,skilled employee/official,2.0,yes,yes,1
no checking account,24.0,delay in paying off in the past,,2375.0,500 <= ... < 1000 DM,,4.0,male : single,none,2.0,car or other,,none,own,2.0,skilled employee/official,2.0,yes,yes,1
... < 100 DM,18.0,existing credits paid back duly till now,car (new),1216.0,,,4.0,female : divorced/separated/married,none,3.0,car or other,,none,rent,1.0,skilled employee/official,1.0,yes,yes,0
... < 100 DM,45.0,no credits taken/all credits paid back duly,others,11816.0,... < 100 DM,... >= 7 years,,male : single,,4.0,,29.0,none,rent,2.0,skilled employee/official,1.0,no,yes,0
,,,domestic appliances,5084.0,unknown/no savings account,... >= 7 years,,female : divorced/separated/married,,4.0,car or other,42.0,none,own,,skilled employee/official,1.0,yes,yes,1
... >= 200 DM / salary for at least 1 year,15.0,existing credits paid back duly till now,domestic appliances,2327.0,... < 100 DM,... < 1 year,2.0,female : divorced/separated/married,none,3.0,,25.0,none,own,1.0,unskilled - resident,1.0,no,yes,0
,12.0,no credits taken/all credits paid back duly,car (new),1082.0,... < 100 DM,1 <= ... < 4 years,4.0,male : single,none,4.0,car or other,48.0,,own,2.0,skilled employee/official,1.0,,yes,0
no checking account,12.0,existing credits paid back duly till now,domestic appliances,886.0,unknown/no savings account,1 <= ... < 4 years,4.0,female : divorced/separated/married,,2.0,,21.0,,own,1.0,skilled employee/official,1.0,no,yes,1
no checking account,4.0,existing credits paid back duly till now,radio/television,601.0,... < 100 DM,... < 1 year,1.0,female : divorced/separated/married,none,3.0,real estate,23.0,none,rent,1.0,unskilled - resident,2.0,no,yes,1
... < 100 DM,24.0,critical account/other credits existing,car (used),2957.0,,... >= 7 years,4.0,male : single,none,4.0,building society savings agreement/life insurance,63.0,none,own,,skilled employee/official,1.0,,yes,1
,24.0,critical account/other credits existing,domestic appliances,2611.0,... < 100 DM,... >= 7 years,,male : married/widowed,co-applicant,,real estate,46.0,none,own,2.0,skilled employee/official,1.0,no,yes,1
... < 100 DM,36.0,existing credits paid back duly till now,radio/television,5179.0,... < 100 DM,4 <= ... < 7 years,4.0,male : single,none,2.0,building society savings agreement/life insurance,29.0,none,own,1.0,skilled employee/official,1.0,no,yes,0
no checking account,21.0,,car (used),2993.0,... < 100 DM,,3.0,male : single,none,2.0,real estate,28.0,stores,own,2.0,unskilled - resident,1.0,no,yes,1
no checking account,18.0,,education,1943.0,,... < 1 year,4.0,female : divorced/separated/married,none,4.0,real estate,,none,own,1.0,,1.0,no,yes,0
no checking account,24.0,,others,1559.0,... < 100 DM,4 <= ... < 7 years,,male : single,none,4.0,car or other,,bank,own,1.0,skilled employee/official,1.0,yes,,1
no checking account,18.0,existing credits paid back duly till now,radio/television,,... < 100 DM,... >= 7 years,4.0,male : single,none,4.0,building society savings agreement/life insurance,47.0,,,3.0,skilled employee/official,2.0,yes,yes,1
0 <= ... < 200 DM,21.0,existing credits paid back duly till now,radio/television,3976.0,unknown/no savings account,4 <= ... < 7 years,2.0,male : single,none,3.0,car or other,35.0,none,own,1.0,skilled employee/official,1.0,yes,yes,1
no checking account,,existing credits paid back duly till now,,6761.0,unknown/no savings account,,2.0,male : single,none,4.0,car or other,68.0,none,rent,2.0,skilled employee/official,1.0,no,yes,0
no checking account,24.0,existing credits paid back duly till now,car (new),1249.0,... < 100 DM,... < 1 year,,male : married/widowed,,2.0,real estate,28.0,none,own,1.0,skilled employee/official,,no,yes,1
... < 100 DM,9.0,existing credits paid back duly till now,domestic appliances,1364.0,... < 100 DM,4 <= ... < 7 years,3.0,male : single,none,4.0,real estate,59.0,,own,,skilled employee/official,1.0,no,yes,1
... < 100 DM,12.0,,domestic appliances,709.0,... < 100 DM,... >= 7 years,4.0,male : single,none,4.0,real estate,57.0,stores,own,1.0,unskilled - resident,1.0,no,yes,0
... < 100 DM,,critical account/other credits existing,car (new),2235.0,... < 100 DM,1 <= ... < 4 years,4.0,male : married/widowed,guarantor,2.0,building society savings agreement/life insurance,,bank,rent,2.0,skilled employee/official,1.0,no,no,0
no checking account,24.0,critical account/other credits existing,,4042.0,unknown/no savings account,,3.0,male : single,none,4.0,,,none,own,,skilled employee/official,,yes,,1
no checking account,,,domestic appliances,,... < 100 DM,1 <= ... < 4 years,4.0,male : single,none,,unknown/no property,35.0,none,for free,2.0,skilled employee/official,1.0,yes,yes,1
... < 100 DM,18.0,all credits at this bank paid back duly,car (new),1442.0,... < 100 DM,4 <= ... < 7 years,4.0,male : single,none,4.0,unknown/no property,32.0,,for free,2.0,unskilled - resident,2.0,no,yes,0
no checking account,36.0,,car (new),10875.0,... < 100 DM,... >= 7 years,2.0,male : single,,2.0,,45.0,none,own,2.0,skilled employee/official,2.0,yes,yes,1
no checking account,24.0,,car (new),1474.0,100 <= ... < 500 DM,... < 1 year,4.0,male : married/widowed,none,3.0,,33.0,none,own,1.0,skilled employee/official,1.0,yes,yes,1
no checking account,10.0,existing credits paid back duly till now,business,894.0,unknown/no savings account,4 <= ... < 7 years,4.0,female : divorced/separated/married,none,3.0,building society savings agreement/life insurance,40.0,none,own,1.0,skilled employee/official,1.0,yes,,1
no checking account,15.0,critical account/other credits existing,,3343.0,... < 100 DM,1 <= ... < 4 years,,male : single,,2.0,unknown/no property,28.0,none,for free,,,1.0,yes,yes,1
... < 100 DM,15.0,existing credits paid back duly till now,car (new),,... < 100 DM,1 <= ... < 4 years,,female : divorced/separated/married,none,2.0,building society savings agreement/life insurance,29.0,none,own,1.0,skilled employee/official,1.0,yes,yes,0
no checking account,9.0,existing credits paid back duly till now,car (new),3577.0,100 <= ... < 500 DM,1 <= ... < 4 years,1.0,male : single,guarantor,2.0,real estate,26.0,none,rent,1.0,skilled employee/official,2.0,no,no,1
no checking account,24.0,critical account/other credits existing,,5804.0,... >= 1000 DM,1 <= ... < 4 years,,male : single,none,2.0,real estate,27.0,none,own,2.0,skilled employee/official,1.0,no,yes,1
,18.0,delay in paying off in the past,others,2169.0,... < 100 DM,1 <= ... < 4 years,4.0,male : married/widowed,none,2.0,,28.0,none,,1.0,skilled employee/official,1.0,yes,yes,0
... < 100 DM,,existing credits paid back duly till now,domestic appliances,2439.0,... < 100 DM,... < 1 year,4.0,female : divorced/separated/married,none,4.0,real estate,,none,own,,skilled employee/official,1.0,yes,yes,0
no checking account,,critical account/other credits existing,,4526.0,... >= 1000 DM,... < 1 year,4.0,male : single,none,2.0,real estate,,stores,own,2.0,unskilled - resident,2.0,,,1
no checking account,10.0,existing credits paid back duly till now,radio/television,2210.0,... < 100 DM,1 <= ... < 4 years,,male : single,none,,real estate,25.0,bank,rent,1.0,unskilled - resident,,no,yes,0
no checking account,15.0,existing credits paid back duly till now,radio/television,2221.0,500 <= ... < 1000 DM,1 <= ... < 4 years,2.0,female : divorced/separated/married,none,4.0,car or other,20.0,none,rent,1.0,,1.0,no,yes,1
... < 100 DM,18.0,existing credits paid back duly till now,domestic appliances,2389.0,... < 100 DM,... < 1 year,4.0,female : divorced/separated/married,none,1.0,,27.0,,own,1.0,skilled employee/official,1.0,no,yes,1
no checking account,12.0,,radio/television,3331.0,... < 100 DM,... >= 7 years,2.0,male : single,none,4.0,building society savings agreement/life insurance,42.0,stores,own,1.0,skilled employee/official,1.0,no,yes,1
,,,others,7409.0,unknown/no savings account,... >= 7 years,3.0,male : single,none,2.0,,37.0,,own,,skilled employee/official,1.0,,,1
... < 100 DM,12.0,,radio/television,652.0,,... >= 7 years,4.0,female : divorced/separated/married,none,4.0,building society savings agreement/life insurance,,none,rent,1.0,skilled employee/official,1.0,no,yes,1
no checking account,36.0,delay in paying off in the past,radio/television,,500 <= ... < 1000 DM,4 <= ... < 7 years,2.0,,,4.0,car or other,40.0,none,own,2.0,skilled employee/official,1.0,yes,yes,1
... >= 200 DM / salary for at least 1 year,6.0,critical account/other credits existing,car (new),1343.0,,... >= 7 years,1.0,male : single,,4.0,real estate,46.0,,,2.0,skilled employee/official,,no,no,1
... < 100 DM,,critical account/other credits existing,others,1382.0,100 <= ... < 500 DM,4 <= ... < 7 years,4.0,male : single,none,,,26.0,none,own,2.0,skilled employee/official,1.0,yes,yes,1
no checking account,15.0,existing credits paid back duly till now,repairs,874.0,unknown/no savings account,... < 1 year,4.0,,none,1.0,real estate,24.0,none,,1.0,skilled employee/official,1.0,no,yes,1
... < 100 DM,12.0,existing credits paid back duly till now,radio/television,3590.0,... < 100 DM,1 <= ... < 4 years,2.0,male : single,co-applicant,2.0,building society savings agreement/life insurance,29.0,,own,1.0,unskilled - resident,2.0,no,yes,1
0 <= ... < 200 DM,11.0,critical account/other credits existing,car (new),1322.0,... >= 1000 DM,1 <= ... < 4 years,4.0,female : divorced/separated/married,none,,car or other,40.0,none,own,2.0,skilled employee/official,1.0,no,,1
... < 100 DM,18.0,all credits at this bank paid back duly,domestic appliances,1940.0,... < 100 DM,... < 1 year,3.0,male : single,co-applicant,4.0,unknown/no property,36.0,bank,,,management/self-employed/highly qualified employee/officer,1.0,,yes,1
no checking account,36.0,existing credits paid back duly till now,domestic appliances,3595.0,... < 100 DM,,4.0,male : single,none,2.0,car or other,,none,own,1.0,skilled employee/official,1.0,no,yes,1
... < 100 DM,9.0,existing credits paid back duly till now,,1422.0,... < 100 DM,,3.0,male : single,none,2.0,unknown/no property,,none,for free,1.0,management/self-employed/highly qualified employee/officer,1.0,yes,yes,0
no checking account,30.0,critical account/other credits existing,domestic appliances,6742.0,unknown/no savings account,4 <= ... < 7 years,2.0,male : single,none,3.0,building society savings agreement/life insurance,36.0,none,,2.0,skilled employee/official,1.0,no,yes,1
no checking account,24.0,existing credits paid back duly till now,car (used),7814.0,... < 100 DM,4 <= ... < 7 years,3.0,male : single,none,,car or other,38.0,none,,1.0,management/self-employed/highly qualified employee/officer,1.0,yes,yes,1
no checking account,24.0,existing credits paid back duly till now,car (used),,unknown/no savings account,1 <= ... < 4 years,2.0,male : divorced/separated,none,4.0,unknown/no property,48.0,none,for free,,skilled employee/official,1.0,yes,yes,1
0 <= ... < 200 DM,30.0,critical account/other credits existing,car (new),2181.0,unknown/no savings account,... >= 7 years,4.0,male : single,,,real estate,36.0,none,own,2.0,,1.0,no,,1
no checking account,18.0,critical account/other credits existing,domestic appliances,1098.0,... < 100 DM,unemployed,4.0,female : divorced/separated/married,none,4.0,car or other,65.0,none,own,2.0,unemployed/unskilled - non-resident,1.0,no,yes,1
0 <= ... < 200 DM,24.0,existing credits paid back duly till now,,4057.0,... < 100 DM,4 <= ... < 7 years,3.0,male : divorced/separated,none,3.0,,43.0,none,,1.0,,1.0,yes,yes,0
... < 100 DM,12.0,existing credits paid back duly till now,,795.0,... < 100 DM,... < 1 year,4.0,female : divorced/separated/married,none,4.0,building society savings agreement/life insurance,,none,,1.0,skilled employee/official,1.0,no,yes,0
0 <= ... < 200 DM,24.0,,others,2825.0,unknown/no savings account,4 <= ... < 7 years,4.0,male : single,none,3.0,,34.0,none,,2.0,skilled employee/official,2.0,yes,yes,1
0 <= ... < 200 DM,48.0,existing credits paid back duly till now,others,15672.0,... < 100 DM,1 <= ... < 4 years,,male : single,,2.0,car or other,23.0,none,own,1.0,skilled employee/official,1.0,yes,,0
no checking account,36.0,critical account/other credits existing,car (new),6614.0,... < 100 DM,... >= 7 years,4.0,male : single,none,,car or other,,none,own,2.0,management/self-employed/highly qualified employee/officer,1.0,yes,yes,1
no checking account,28.0,all credits at this bank paid back duly,car (used),7824.0,unknown/no savings account,... < 1 year,3.0,male : single,guarantor,4.0,real estate,40.0,bank,rent,2.0,skilled employee/official,2.0,yes,yes,1
... < 100 DM,27.0,critical account/other credits existing,others,2442.0,... < 100 DM,... >= 7 years,,male : single,none,4.0,car or other,43.0,stores,own,4.0,management/self-employed/highly qualified employee/officer,2.0,yes,yes,1
no checking account,15.0,critical account/other credits existing,domestic appliances,,... < 100 DM,... >= 7 years,4.0,male : single,none,4.0,,46.0,,,,skilled employee/official,,yes,yes,1
... < 100 DM,12.0,critical account/other credits existing,car (new),2171.0,... < 100 DM,1 <= ... < 4 years,4.0,male : single,none,4.0,building society savings agreement/life insurance,38.0,bank,,2.0,unskilled - resident,1.0,,no,1
0 <= ... < 200 DM,36.0,critical account/other credits existing,car (used),5800.0,... < 100 DM,1 <= ... < 4 years,3.0,male : single,none,4.0,car or other,34.0,none,own,2.0,skilled employee/official,1.0,yes,yes,1
no checking account,18.0,critical account/other credits existing,domestic appliances,,unknown/no savings account,1 <= ... < 4 years,4.0,male : single,,3.0,building society savings agreement/life insurance,29.0,none,own,2.0,skilled employee/official,,yes,yes,1
no checking account,36.0,delay in paying off in the past,car (used),8947.0,unknown/no savings account,4 <= ... < 7 years,3.0,male : single,none,2.0,car or other,31.0,stores,own,1.0,management/self-employed/highly qualified employee/officer,,yes,yes,1
... < 100 DM,21.0,existing credits paid back duly till now,,2606.0,... < 100 DM,... < 1 year,4.0,female : divorced/separated/married,none,4.0,building society savings agreement/life insurance,28.0,none,rent,1.0,management/self-employed/highly qualified employee/officer,1.0,yes,,1
no checking account,12.0,critical account/other credits existing,radio/television,1592.0,... >= 1000 DM,,3.0,,none,2.0,building society savings agreement/life insurance,35.0,none,own,1.0,skilled employee/official,1.0,no,no,1
no checking account,15.0,existing credits paid back duly till now,radio/television,2186.0,unknown/no savings account,4 <= ... < 7 years,1.0,female : divorced/separated/married,none,4.0,real estate,,bank,rent,1.0,unskilled - resident,,no,yes,1
... < 100 DM,18.0,,radio/television,4153.0,... < 100 DM,1 <= ... < 4 years,2.0,male : single,co-applicant,3.0,car or other,42.0,none,own,1.0,skilled employee/official,1.0,no,yes,0
... < 100 DM,16.0,critical account/other credits existing,car (new),,... < 100 DM,... >= 7 years,2.0,male : single,guarantor,4.0,building society savings agreement/life insurance,43.0,,rent,1.0,skilled employee/official,1.0,yes,yes,0
no checking account,20.0,critical account/other credits existing,car (new),,unknown/no savings account,... < 1 year,2.0,male : divorced/separated,none,4.0,,44.0,none,,2.0,,1.0,yes,yes,1
no checking account,36.0,critical account/other credits existing,,10477.0,unknown/no savings account,... >= 7 years,2.0,male : single,,4.0,unknown/no property,42.0,none,,2.0,skilled employee/official,1.0,no,yes,1
,15.0,,domestic appliances,1386.0,unknown/no savings account,1 <= ... < 4 years,4.0,male : married/widowed,none,2.0,,,none,rent,1.0,skilled employee/official,1.0,yes,yes,1
no checking account,24.0,,domestic appliances,1278.0,... < 100 DM,... >= 7 years,,male : single,none,1.0,,36.0,none,own,1.0,management/self-employed/highly qualified employee/officer,,,,1
... < 100 DM,12.0,existing credits paid back duly till now,domestic appliances,1107.0,... < 100 DM,,2.0,male : single,none,2.0,real estate,20.0,none,rent,1.0,management/self-employed/highly qualified employee/officer,2.0,yes,yes,1
... < 100 DM,21.0,existing credits paid back duly till now,car (new),3763.0,unknown/no savings account,4 <= ... < 7 years,2.0,male : single,co-applicant,2.0,real estate,24.0,none,own,1.0,,1.0,,no,1
0 <= ... < 200 DM,36.0,existing credits paid back duly till now,retraining,3711.0,,1 <= ... < 4 years,2.0,male : married/widowed,none,2.0,car or other,,none,own,1.0,,1.0,no,yes,1
no checking account,15.0,delay in paying off in the past,car (used),3594.0,... < 100 DM,,1.0,female : divorced/separated/married,,2.0,building society savings agreement/life insurance,46.0,none,,2.0,unskilled - resident,1.0,no,,1
0 <= ... < 200 DM,,existing credits paid back duly till now,car (new),3195.0,unknown/no savings account,,1.0,female : divorced/separated/married,none,2.0,real estate,33.0,none,own,,unskilled - resident,1.0,no,yes,1
no checking account,,delay in paying off in the past,domestic appliances,4454.0,... < 100 DM,,,female : divorced/separated/married,none,4.0,,34.0,none,own,2.0,skilled employee/official,1.0,no,,1
0 <= ... < 200 DM,24.0,critical account/other credits existing,radio/television,4736.0,... < 100 DM,... < 1 year,2.0,female : divorced/separated/married,none,4.0,car or other,25.0,bank,own,1.0,unskilled - resident,1.0,no,yes,0
0 <= ... < 200 DM,30.0,,domestic appliances,2991.0,,,2.0,female : divorced/separated/married,none,4.0,car or other,25.0,none,own,1.0,skilled employee/official,1.0,no,yes,1
no checking account,11.0,existing credits paid back duly till now,others,2142.0,... >= 1000 DM,... >= 7 years,1.0,male : divorced/separated,none,,real estate,28.0,none,own,,skilled employee/official,1.0,yes,yes,1
... < 100 DM,24.0,all credits at this bank paid back duly,others,3161.0,... < 100 DM,1 <= ... < 4 years,4.0,male : single,none,2.0,building society savings agreement/life insurance,31.0,,rent,1.0,skilled employee/official,1.0,yes,yes,0
0 <= ... < 200 DM,48.0,no credits taken/all credits paid back duly,furniture/equipment,18424.0,... < 100 DM,1 <= ... < 4 years,1.0,,none,2.0,building society savings agreement/life insurance,32.0,bank,own,1.0,management/self-employed/highly qualified employee/officer,1.0,yes,,0
no checking account,10.0,existing credits paid back duly till now,car (used),2848.0,100 <= ... < 500 DM,1 <= ... < 4 years,1.0,male : single,co-applicant,2.0,real estate,32.0,none,own,1.0,,2.0,no,yes,1
... < 100 DM,6.0,existing credits paid back duly till now,car (new),14896.0,,... >= 7 years,,male : single,none,,unknown/no property,68.0,bank,own,1.0,management/self-employed/highly qualified employee/officer,1.0,yes,yes,0
... < 100 DM,24.0,,radio/television,2359.0,100 <= ... < 500 DM,unemployed,1.0,,none,,building society savings agreement/life insurance,33.0,none,own,,skilled employee/official,1.0,no,yes,0
... < 100 DM,24.0,existing credits paid back duly till now,radio/television,3345.0,... < 100 DM,... >= 7 years,4.0,male : single,none,2.0,building society savings agreement/life insurance,39.0,none,rent,,management/self-employed/highly qualified employee/officer,,yes,,0
no checking account,18.0,critical account/other credits existing,radio/television,1817.0,... < 100 DM,1 <= ... < 4 years,4.0,female : divorced/separated/married,none,2.0,unknown/no property,,none,,2.0,skilled employee/official,1.0,no,yes,1
